Date,Description,Amount,Category
2024-01-02,Uber to client meeting,-25.50,Commute
2024-01-03,AWS Monthly Bill,-150.00,Software
2024-01-04,Team lunch - Quarterly review,-180.75,Food
2024-01-05,Office supplies - Staples,-85.30,Office Expenses
2024-01-07,Udemy course - Python for Finance,-49.99,Learning
2024-01-08,Train ticket to HQ,-75.00,Commute
2024-01-09,Client dinner - ABC Corp,-220.50,Entertainment
2024-01-10,Zoom annual subscription,-149.90,Software
2024-01-11,Industry conference registration,-399.00,Professional Development
2024-01-12,Hotel for conference - 2 nights,-450.00,Travel
2024-01-13,Taxi from airport,-60.00,Commute
2024-01-14,LinkedIn Premium annual plan,-359.88,Software
2024-01-15,Team building event - Escape Room,-300.00,Team Building
2024-01-16,Office snacks and coffee supply,-125.00,Food
2024-01-17,Slack annual subscription,-150.00,Software
2024-01-18,Books for work - Amazon,-95.97,Learning
2024-01-19,Client gift - project completion,-150.00,Entertainment
2024-01-20,Parking fees for client visit,-40.00,Commute
2024-01-21,Adobe Creative Suite - yearly,-599.88,Software
2024-01-22,Webinar hosting - GoToWebinar,-99.00,Software
2024-01-23,Office furniture - ergonomic chair,-350.00,Office Expenses
2024-01-24,Team lunch - Project kickoff,-160.50,Food
2024-01-25,Google Workspace - monthly,-12.00,Software
2024-01-26,Flight tickets for upcoming conference,-550.00,Travel
2024-01-27,Miro annual subscription,-99.99,Software
2024-01-28,Office plants,-120.00,Office Expenses
2024-01-29,Coursera subscription - yearly,-399.00,Learning
2024-01-30,Postage for contracts,-35.50,Office Expenses
2024-01-31,Mobile phone plan - monthly,-80.00,Utilities
